index	x	y	mass
0	56.804	47.888	78.310
1	55.969	58.233	19.755
2	46.704	55.365	27.777
3	51.079	49.548	62.887
4	47.296	50.268	95.223
5	58.324	52.714	71.730
6	42.832	52.139	1.630
7	44.858	42.745	80.418
8	43.134	48.019	12.979
9	42.176	59.978	21.826
10	50.259	56.782	61.264
11	45.921	52.751	52.429
12	49.872	59.456	29.252
13	55.427	50.535	76.991
14	48.005	57.831	28.331
15	47.049	56.154	91.903
16	41.395	58.987	52.600
17	41.721	43.844	66.323
18	57.805	46.978	6.417
19	40.400	49.154	6.310
20	44.766	59.413	90.221
21	57.018	45.333	53.976
22	47.504	55.205	51.254
23	53.354	50.632	3.928
24	48.753	58.637	93.081
25	54.419	45.686	73.853
26	52.800	47.081	68.786
27	43.319	48.802	88.008
28	56.584	46.607	22.897
29	57.867	47.007	68.667
30	59.129	51.773	65.730
31	57.174	48.791	92.397
32	47.969	56.295	68.422
33	58.219	49.650	21.582
34	59.005	58.403	14.766
35	57.621	52.822	43.195
36	52.392	45.621	78.600
37	46.149	48.941	22.611
38	43.751	45.525	55.644
39	48.330	43.392	90.680
40	42.063	42.522	49.544
41	55.210	59.695	93.500
42	53.689	47.664	74.977
43	47.373	45.883	23.226
44	51.690	44.888	15.239
45	54.643	42.509	79.347
46	43.282	54.901	7.453
47	59.002	41.051	52.156
48	43.524	44.801	79.780
49	54.653	53.131	96.741
50	52.789	55.195	9.348
51	42.698	50.404	7.823
52	41.398	44.093	46.142
53	56.394	51.466	75.558
54	41.039	43.156	99.999
55	44.087	57.799	12.547
56	59.956	41.081	87.054
57	41.447	40.083	92.307
58	51.878	43.607	16.313
59	47.834	58.261	81.970
60	47.182	51.050	57.943
61	49.052	53.748	9.964
62	50.616	55.146	30.430
63	59.845	51.539	87.761
64	54.956	52.578	3.542
65	54.956	56.665	92.538
66	57.465	56.621	97.943
67	54.876	58.067	98.360
68	53.338	49.945	16.397
69	56.600	57.779	7.699
70	52.994	44.961	62.948
71	44.583	54.012	31.687
72	46.576	44.629	7.416
73	52.661	44.473	65.113
74	50.214	59.429	28.004
75	50.922	54.385	11.328
76	49.430	51.851	94.432
77	49.018	46.727	84.768
78	48.690	40.065	34.494
79	51.970	56.665	23.389
80	53.510	49.659	48.194
81	46.099	54.242	18.256
82	52.436	40.817	41.398
83	53.920	53.479	63.764
84	46.942	43.692	60.911
85	52.543	54.615	32.837
86	54.809	44.044	92.091
87	53.695	53.063	25.727
88	50.649	41.753	26.050
89	57.548	53.722	9.374
90	42.226	47.232	57.669
91	51.864	53.331	28.878
92	55.515	45.768	32.964
93	43.795	59.687	0.358
94	56.548	46.630	18.820
95	48.730	59.173	91.893
96	55.297	53.982	12.114
97	53.716	47.677	77.427
98	58.861	58.325	86.192
99	44.071	55.873	54.804
