index	x	y
0	56.804	47.888
1	55.969	58.233
2	46.704	55.365
3	51.079	49.548
4	47.296	50.268
5	58.324	52.714
6	42.832	52.139
7	44.858	42.745
8	43.134	48.019
9	42.176	59.978
10	50.259	56.782
11	45.921	52.751
12	49.872	59.456
13	55.427	50.535
14	48.005	57.831
15	47.049	56.154
16	41.395	58.987
17	41.721	43.844
18	57.805	46.978
19	40.400	49.154
20	44.766	59.413
21	57.018	45.333
22	47.504	55.205
23	53.354	50.632
24	48.753	58.637
25	54.419	45.686
26	52.800	47.081
27	43.319	48.802
28	56.584	46.607
29	57.867	47.007
30	59.129	51.773
31	57.174	48.791
32	47.969	56.295
33	58.219	49.650
34	59.005	58.403
35	57.621	52.822
36	52.392	45.621
37	46.149	48.941
38	43.751	45.525
39	48.330	43.392
40	42.063	42.522
41	55.210	59.695
42	53.689	47.664
43	47.373	45.883
44	51.690	44.888
45	54.643	42.509
46	43.282	54.901
47	59.002	41.051
48	43.524	44.801
49	54.653	53.131
50	52.789	55.195
51	42.698	50.404
52	41.398	44.093
53	56.394	51.466
54	41.039	43.156
55	44.087	57.799
56	59.956	41.081
57	41.447	40.083
58	51.878	43.607
59	47.834	58.261
60	47.182	51.050
61	49.052	53.748
62	50.616	55.146
63	59.845	51.539
64	54.956	52.578
65	54.956	56.665
66	57.465	56.621
67	54.876	58.067
68	53.338	49.945
69	56.600	57.779
70	52.994	44.961
71	44.583	54.012
72	46.576	44.629
73	52.661	44.473
74	50.214	59.429
75	50.922	54.385
76	49.430	51.851
77	49.018	46.727
78	48.690	40.065
79	51.970	56.665
80	53.510	49.659
81	46.099	54.242
82	52.436	40.817
83	53.920	53.479
84	46.942	43.692
85	52.543	54.615
86	54.809	44.044
87	53.695	53.063
88	50.649	41.753
89	57.548	53.722
90	42.226	47.232
91	51.864	53.331
92	55.515	45.768
93	43.795	59.687
94	56.548	46.630
95	48.730	59.173
96	55.297	53.982
97	53.716	47.677
98	58.861	58.325
99	44.071	55.873
